wavelength,mean_flux,median_flux,rms_flux,snr,n_spectra,mean_flux_smoothed
2400.0,26.91186774028976,26.499747520346855,5.812069133397284,4.630341987098694,5,27.074341863703847
2404.0,26.15205570537688,18.547686995826385,4.615027647440486,5.666717017368449,5,27.03001263135407
2408.0,28.827970175696606,14.106791253310238,5.862923782379103,4.916995554733029,5,26.985683399004284
2412.0,26.54054788485782,18.983819811518803,8.40106679537881,3.1591878187966587,5,27.45527247917287
2416.0,26.4959754888004,17.363190974020327,3.620537398644017,7.318243832731521,5,27.37074454440288
2420.0,29.259813141132675,23.42830363577894,8.64734939758597,3.3836742099609123,5,26.189087255154554
2424.0,25.72941603152692,17.482552442951942,5.780197552486924,4.451303921343807,5,25.678002816594745
2428.0,22.919683729454988,22.108721008395932,8.177618394654736,2.8027333415846765,5,25.427693522335744
2432.0,23.985125692058773,12.891719840295604,6.4452415508958,3.7213695565413167,5,24.42069202286077
2436.0,25.2444290175054,16.435584181122284,6.511600123900957,3.876839568947919,5,24.063817224039028
2440.0,24.224805643757804,19.693364066380532,6.626920067720995,3.6555149897995887,5,23.64763855347831
2444.0,23.9450420374182,10.826798652815503,8.896133015264116,2.6916236522467623,5,22.2984675916349
2448.0,20.83879037665141,11.945394942227203,5.815189265467108,3.583510256562135,5,22.511944745366293
2452.0,17.239270882841716,13.1085524261284,7.704077369793899,2.237681432228776,5,23.134439489589404
2456.0,26.31181478616237,20.728048210831275,6.657928860951273,3.9519519261434377,5,23.39249458635901
2460.0,27.337279364873364,20.661881704194172,9.999412348365157,2.7338885938975053,5,23.94982827101104
2464.0,25.235317521266236,18.793815825639065,4.47014436965608,5.645302575139819,5,25.048422870353246
2468.0,23.62545879991155,20.930891182895937,2.9225720779741327,8.083789952680393,5,23.97211371200214
2472.0,22.73224387955276,15.042771057199994,6.178172093538593,3.679444912731899,5,22.753956567048345
2476.0,20.930268994406827,17.981828424292388,8.83335100936141,2.369459673030693,5,21.556370619340086
2480.0,21.246493640104376,14.77567674511952,5.354759147822904,3.967777644815754,5,20.884270909821385
2484.0,19.247387782724942,14.661865707156991,3.6602048811618912,5.258554755168535,5,20.091089563974254
2488.0,20.264960252318037,13.165540217595034,5.009226713680008,4.045526667214961,5,19.806389068929445
2492.0,18.766337150317113,14.975120196416466,5.818857850433536,3.2250894647510457,6,19.917034723919578
2496.0,19.506766519182783,18.104128720582825,5.247275563073507,3.7175037378362896,6,20.21353969195364
2500.0,21.79972191505503,14.003959049807374,3.663612772547752,5.950334620079146,6,20.29623843064985
2504.0,20.729912622895256,19.1589678763444,1.960483003007464,10.573880309645476,6,20.61794263805114
2508.0,20.678453945799102,16.004862331908512,4.574038218020906,4.520831038168774,6,20.06767243398784
2512.0,20.37485818732355,17.959508916374908,4.166434546447549,4.890238394527494,6,19.981827437937568
2516.0,16.755415498866284,13.808490930616037,2.568712391128231,6.522884989668682,7,19.936904490699906
2520.0,21.370496934803665,14.704893801474656,2.222588603715687,9.615138356723698,7,20.30473218440914
2524.0,20.50529788670696,19.87112868237188,4.225355681664881,4.852916400786271,7,20.09750312831501
2528.0,22.517592414345263,14.470075326228685,4.370257732037494,5.152463263041274,7,20.767159124835842
2532.0,19.338712906852923,16.445103508878194,2.810488508723818,6.88090801539488,7,20.35329880376699
2536.0,20.10369548147043,14.132269975253912,3.3338595794057992,6.030156640566593,8,20.04322683264991
2540.0,19.30119532945939,18.627701995311753,3.4570239724561387,5.583182379769938,9,19.568968892249128
2544.0,18.95493803112157,13.129941593185723,4.192844405960998,4.520782599080756,9,19.867729777731974
2548.0,20.146302712341356,14.548065313654556,4.407268788683701,4.571153627859027,9,19.575972834135598
2552.0,20.83251733426716,18.589376385895,4.2222477413486725,4.933987442341038,9,19.863116484186403
2556.0,18.644910763488543,15.532160375741038,3.4703468393214916,5.372636115856917,9,20.133768660598317
2560.0,20.7369135797134,15.917406197938831,4.512218084475739,4.595725027355978,9,20.161430667648236
2564.0,20.30819891318116,16.459197375081164,5.793022363084703,3.505631023037744,9,20.311755089745652
2568.0,20.28461274759094,17.068616087701773,5.514487477535406,3.6784221253970024,9,20.67023138624952
2572.0,21.584139444754232,14.689315562269048,2.942994945698444,7.334072889354484,9,20.34249598521392
2576.0,20.437292246007896,17.710151218208917,7.530638898438261,2.7138855708838032,11,19.727324510699304
2580.0,19.098236574535395,16.76112534761113,4.539670171040583,4.20696567260914,11,19.695100546657343
2584.0,17.232341540608093,12.288519493658317,3.5883496298742203,4.802302818304839,12,19.19283429852734
2588.0,20.123492927381132,18.542320033106783,4.241315583388758,4.744634661517622,12,18.784377840439692
2592.0,19.072808204104216,14.267004846678493,4.623874303270119,4.12485438685378,12,18.83623720842563
2596.0,18.395009955569652,15.200336654981864,5.195210248039209,3.540763333401636,12,18.977384800264502
2600.0,19.357533414465085,15.22781609853185,5.690687783391066,3.401615789037363,12,18.568377173242297
2604.0,17.93807949980246,14.35963795165949,3.9309933158422,4.563243449819832,12,18.201005534292587
2608.0,18.078454792270104,15.626350495400144,2.689422147254545,6.7220591645403145,13,18.073209829674287
2612.0,17.235950009355665,15.12508788338234,2.872271544884726,6.000807980725724,14,17.718461384366385
2616.0,17.756031432478153,13.329464398853595,3.697263196772459,4.8024796957864275,15,17.822183823471722
2620.0,17.583791187925563,15.170548489371209,3.391057548435309,5.185341427201381,15,17.87018712254705
2624.0,18.456691695329145,15.31937634335546,3.213674616193989,5.743173749552693,16,17.944669382290293
2628.0,18.31847128764675,15.167449922441127,3.906303069908056,4.689464939052442,17,17.71138153771918
2632.0,17.608361308071878,13.491202429786536,3.134966368084626,5.616762427607822,17,17.751993025113805
2636.0,16.5895922096226,13.599158451024936,4.050703499702634,4.09548420683974,17,17.406996670745357
2640.0,17.78684862489867,16.952161497736125,4.335792766787089,4.102329050675337,17,17.119378529633828
2644.0,16.731709923486914,13.687595066941007,3.1588026884047116,5.296851868875963,17,16.73097229121608
2648.0,16.88038058208911,13.777029156913358,3.1266069811457124,5.398945465126375,17,16.598473415167987
2652.0,15.666330115983124,12.384204701753188,4.316740995905,3.6292031722182805,17,16.11555506629041
2656.0,15.927097829382138,12.717339986399384,4.629123348575243,3.4406293870488884,17,16.157175722780707
2660.0,15.372256880510772,12.097002508267805,4.230830668058416,3.6333897729746067,18,16.11021757901087
2664.0,16.93981320593841,14.215501349808582,4.138915191801816,4.09281476448033,19,16.18615634803142
2668.0,16.645589863239945,14.46860431141437,3.743795552441651,4.446180254790869,19,16.078630024800773
2672.0,16.046023961085865,13.69379042720697,2.714092100235691,5.912114758262048,20,16.26859331387417
2676.0,15.389466213228904,12.649101915261792,3.078286819560837,4.999360720852009,20,16.376084155630142
2680.0,16.322073325877756,13.773602904758867,3.5991894581332997,4.534930299096595,21,16.42519216348838
2684.0,17.477267414718277,13.68027186888972,3.4586002575169084,5.053277659577239,21,16.694768815334452
