-668281729478394550 EUCL J042718.76-475022.0    66.828173   -47.839455 QSO       0.1149       2323          0      63.2110       0.8936     189.9301 4788708185068315904                            19.9704       0.0020      15.9798       0.0016      15.7938       0.0013      15.6100       0.0012
-668248695473077664 EUCL J042717.97-471828.0    66.824870   -47.307766 QSO       1.3293       2295          1       4.6904      -2.7904      23.9890                      0.680066525936126709      21.7586       0.0070      20.7386       0.0147      20.3926       0.0110      20.1227       0.0093
-668108708466398346 EUCL J042714.61-463823.4    66.810871   -46.639835 QSO       1.5665       2733          4       9.0678      -2.7358      14.7235 4789154792949586432                            19.5023       0.0024      19.2931       0.0112      19.1760       0.0082      18.8921       0.0065
-667682137475720768 EUCL J042704.37-473419.5    66.768214   -47.572077 QSO       1.1806       1410         31      12.1850      -2.7570      29.3169 4789090673381469696  0.843725442886352539      20.1291       0.0029      19.5050       0.0102      19.1744       0.0087      19.2282       0.0084
-667595602479166363 EUCL J042702.29-475459.9    66.759560   -47.916636 QSO       3.3853       2458          0       4.3396      -2.7651      11.9537 4788707665377929472                            20.7498       0.0037      20.4539       0.0134      20.1137       0.0094      20.1963       0.0111
-667460248467173382 EUCL J042659.05-464302.4    66.746025   -46.717338 QSO       0.4960       2514          4      28.0990      -2.6009      30.3191 4789154891732061696                            18.8049       0.0015      18.1886       0.0053      18.1750       0.0044      17.9042       0.0057
-667178124476245811 EUCL J042652.27-473728.5    66.717812   -47.624581 QSO       0.8143       2140          3      20.8196      -2.8570      43.0319 4789090295424523904  0.907508552074432373      19.5165       0.0019      18.4268       0.0064      18.3460       0.0055      18.2324       0.0060
-667019323466872150 EUCL J042648.46-464114.0    66.701932   -46.687215 QSO       2.2009       2771          2       3.8041      -2.9634      12.5840 4789155170904735488                            20.6059       0.0037      20.1191       0.0103      20.0313       0.0084      19.9714       0.0104
-667016278473591203 EUCL J042648.39-472132.8    66.701628   -47.359120 QSO       1.2809       2255          1       2.1996      -2.7381      15.8266                      0.713387906551361084      21.5058       0.0049      20.1350       0.0133      19.7512       0.0097      19.3886       0.0080
-666835605481608313 EUCL J042644.05-480939.0    66.683561   -48.160831 QSO       0.5110       2209          6      12.2768      -2.2727      40.4070 4788675092345842432  0.516863048076629639      20.1755       0.0028      18.8368       0.0083      18.6801       0.0059      18.2964       0.0051
-666661917470347809 EUCL J042639.89-470205.2    66.666192   -47.034781 QSO       1.2993       2692         20       5.3976      -2.9826      21.6284 4789142835760196736  0.930644214153289795      20.4406       0.0037      20.0065       0.0117      19.9181       0.0123      19.8937       0.0100
-666409270472165706 EUCL J042633.82-471259.7    66.640927   -47.216571 QSO       1.2069       2820          0      13.6013      -2.9895      17.7750 4789113767421551872  0.954848229885101318      19.0120       0.0015      19.0658       0.0073      18.8819       0.0062      18.8361       0.0059
-666337980479031103 EUCL J042632.11-475411.2    66.633798   -47.903110 QSO       1.3859       2460          0       2.0421      -2.9804      17.6621                      0.906642973423004150      21.8598       0.0068      21.2920       0.0179      20.9166       0.0134      20.5569       0.0111
-666175373474157471 EUCL J042628.21-472456.7    66.617537   -47.415747 QSO       1.1894       2846          1       4.5311      -2.8302      13.5044 4789105692883499264  0.745204448699951172      21.0297       0.0038      20.2111       0.0129      19.9092       0.0093      19.5127       0.0079
-665904940470931411 EUCL J042621.72-470535.3    66.590494   -47.093141 QSO       1.3669       2602          0       3.4903      -2.8256      11.0897                                                22.3562       0.0110      20.8903       0.0156      20.6308       0.0122      20.4953       0.0134
-665867609471339676 EUCL J042620.82-470802.3    66.586761   -47.133968 QSO       2.4917       2612          0       6.6078      -3.0140      14.6601 4789118680864137088                            20.3815       0.0032      19.8141       0.0094      19.8135       0.0084      19.7705       0.0078
-665795552479717127 EUCL J042619.09-475818.2    66.579555   -47.971713 QSO       1.6183       2465          3       7.7435      -3.0916      13.8993 4788703580865149568  0.925990402698516846      20.0730       0.0031      19.8882       0.0113      19.8187       0.0100      19.6601       0.0094
-665695048468377662 EUCL J042616.68-465016.0    66.569505   -46.837766 QSO       1.6578       2724          2       2.9917      -3.1214      12.6368 4789334146486936064  0.908675014972686768      20.8347       0.0038      20.7784       0.0166      20.6125       0.0139      20.3535       0.0123
-665523118476630537 EUCL J042612.55-473947.0    66.552312   -47.663054 QSO       1.0353       2802          0       6.0779      -1.1171      52.2628                      0.029031105339527130      23.7712       0.0155      19.8905       0.0100      19.4387       0.0070      19.0810       0.0059
-665464620467228672 EUCL J042611.15-464322.3    66.546462   -46.722867 QSO       0.8417       2272          0      14.3330      -2.6109      25.2590                      0.675135493278503418      21.0100       0.0058      19.4393       0.0072      19.0272       0.0053      18.6716       0.0052
-665296393477165710 EUCL J042607.11-474259.7    66.529639   -47.716571 QSO       0.6934       2354          0      15.6085      -2.2594      33.2545 4788713407750729472  0.554136693477630615      19.9808       0.0028      18.7703       0.0063      18.7065       0.0045      18.3273       0.0038
-665094476475759349 EUCL J042602.27-473433.4    66.509448   -47.575935 QSO       1.9905       2402         78      14.5016      -2.9692      15.3738 4788727662745117312  0.777270436286926270      19.8163       0.0027      18.7707       0.0072      18.4337       0.0059      18.2946       0.0058
-665039482471817910 EUCL J042600.95-471054.4    66.503948   -47.181791 QSO       1.1439       2347          3       7.6024      -2.8060      14.9212 4789117645775495296  0.336963176727294922      19.9324       0.0024      19.6602       0.0108      19.4446       0.0080      19.4693       0.0087
-664945784469540766 EUCL J042558.70-465714.7    66.494578   -46.954077 QSO       0.9653       2832          0       4.4566      -1.2556      37.7942                      0.054299227893352509      23.0403       0.0099      20.5794       0.0146      20.1027       0.0101      19.3679       0.0068
-664713550481155468 EUCL J042553.13-480656.0    66.471355   -48.115547 QSO       1.9780       2260          0      11.0623      -2.7695      14.6979 4788678876211953152  0.604338467121124268      20.5031       0.0038      20.1543       0.0117      19.9211       0.0084      19.8183       0.0081
